stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location
73,MICHIGAN,betw. VAN BUREN & CONGRES,"1,3,4,7,J14,26,X28,126,129,132,143,147,148",965.5,921.5,10/1/12,Weekday,"(41.87627100, -87.62439600)"
74,CONGRESS PLAZA,MICHIGAN,"7,126,132,143,147",138.8,250.3,10/1/12,Weekday,"(41.87485809, -87.62355113)"
75,MICHIGAN,VAN BUREN,"1,7,X28,126,129",290.4,90.8,10/1/12,Weekday,"(41.87669000, -87.62416000)"
76,MICHIGAN,JACKSON,"3,4,6,J14,26,143",427.4,1794.2,10/1/12,Weekday,"(41.87813500, -87.62419300)"
77,ADAMS,WABASH,"1,7,X28,126,129,151",857.7,752.4,10/1/12,Weekday,"(41.87957500, -87.62588400)"
80,ADAMS,WELLS,"1,7,X28,126,129,130,134,135,136,151,156",343.9,1172.2,10/1/12,Weekday,"(41.87942600, -87.63402400)"
86,VAN BUREN,JEFFERSON,"125,126",11.8,12.1,10/1/12,Weekday,"(41.87677800, -87.64231900)"
87,VAN BUREN,DESPLAINES,126,15.3,14.7,10/1/12,Weekday,"(41.87676000, -87.64378200)"
88,VAN BUREN,HALSTED,126,51.2,54,10/1/12,Weekday,"(41.87672600, -87.64704800)"
89,VAN BUREN,PEORIA,126,17.5,51.2,10/1/12,Weekday,"(41.87668200, -87.64940100)"
92,VAN BUREN,ABERDEEN,126,15.9,28.8,10/1/12,Weekday,"(41.87661688, -87.65440720)"
93,VAN BUREN,RACINE,126,25.8,40.9,10/1/12,Weekday,"(41.87657583, -87.65680352)"
94,VAN BUREN,THROOP,126,14.9,45.7,10/1/12,Weekday,"(41.87652937, -87.65932106)"
96,VAN BUREN,LAFLIN,126,13.1,33.2,10/1/12,Weekday,"(41.87644665, -87.66410017)"
97,VAN BUREN,ASHLAND,126,94.2,59.6,10/1/12,Weekday,"(41.87640948, -87.66647087)"
99,VAN BUREN,OGDEN,126,28.4,26.8,10/1/12,Weekday,"(41.87632903, -87.67187647)"
100,VAN BUREN,1900 W.(MALCOLM X COLL.),126,153.8,108.4,10/1/12,Weekday,"(41.87624200, -87.67405700)"
101,VAN BUREN,DAMEN,126,24,16,10/1/12,Weekday,"(41.87624000, -87.67607200)"
103,HARRISON,PAULINA,"126, 755",0.3,0.4,10/1/12,Weekday,"(41.87421000, -87.66897000)"
107,HARRISON,OGDEN,"7,126",237.6,332.4,10/1/12,Weekday,"(41.87414150, -87.67454701)"
108,HARRISON,DAMEN,"7,126",61.5,49.4,10/1/12,Weekday,"(41.87410934, -87.67632053)"
111,DAMEN,JACKSON,50,163.9,187.7,10/1/12,Weekday,"(41.87740942, -87.67635136)"
118,JACKSON,ROCKWELL,126,8.6,9.3,10/1/12,Weekday,"(41.87755894, -87.69097077)"
119,JACKSON,WASHTENAW,126,24,41.4,10/1/12,Weekday,"(41.87752503, -87.69403232)"
120,JACKSON,CALIFORNIA,126,95.3,98.5,10/1/12,Weekday,"(41.87749585, -87.69648347)"
